# t (s)	mx ()	my ()	mz ()
2.8106148569812174e-09	5.3915865e-06	6.03497e-07	0.97490543
2.820389836778443e-09	-6.8650406e-06	-9.390642e-07	0.9749054
2.8301645126228765e-09	5.3425174e-06	4.033791e-07	0.9749054
2.8399393764858594e-09	-6.9736707e-06	-9.763753e-07	0.9749055
2.850936071061727e-09	4.9793452e-06	3.7741847e-07	0.9749054
2.8607108942319906e-09	-6.720147e-06	-1.2861565e-06	0.9749054
2.870485021296028e-09	5.222435e-06	1.6880222e-07	0.97490543
2.8802594088814642e-09	-6.7221554e-06	-1.2853416e-06	0.9749054
2.8900341854602405e-09	5.397451e-06	2.5320332e-08	0.9749054
2.899808975386523e-09	-6.5799977e-06	-1.1827797e-06	0.9749054
2.9108054242402065e-09	5.255599e-06	2.1568849e-07	0.9749054
2.9205798294813922e-09	-6.3197076e-06	-1.2539967e-06	0.97490543
2.9303544068312505e-09	5.4427655e-06	2.3189932e-07	0.9749054
2.9401289897531446e-09	-6.3771295e-06	-1.0512304e-06	0.9749054
2.949903774229962e-09	5.4345874e-06	2.3841858e-07	0.9749054
2.9608999104157838e-09	-6.1340106e-06	-1.0950607e-06	0.97490543
2.970674415796267e-09	5.149457e-06	4.4924673e-07	0.97490543
2.9804489574453167e-09	-6.3804473e-06	-9.867072e-07	0.97490543
2.9902236786269094e-09	5.155787e-06	3.5570702e-07	0.9749054
2.999998064283687e-09	-6.4999185e-06	-9.277719e-07	0.9749054
3.00977223196836e-09	5.0742674e-06	1.9767322e-07	0.9749054
3.020768449130327e-09	-6.2986364e-06	-1.1451775e-06	0.9749054
3.0305429774626795e-09	4.9261e-06	2.6653288e-07	0.9749054
3.040317862257131e-09	-6.399059e-06	-1.1336524e-06	0.9749054
3.0500920140055156e-09	5.030248e-06	1.1717202e-07	0.9749054
3.0598667756855337e-09	-6.3471525e-06	-1.0774238e-06	0.97490543
3.070862769254216e-09	4.824731e-06	2.3306347e-07	0.97490543
3.0806371070951766e-09	-6.1017927e-06	-1.214561e-06	0.9749054
3.090411773353038e-09	5.0218077e-06	1.8172432e-07	0.9749054
3.10018615998075e-09	-6.1470782e-06	-1.0851654e-06	0.9749055
3.109960572381337e-09	5.0738454e-06	1.4295802e-07	0.9749054
3.120956783462647e-09	-5.8361766e-06	-1.1520751e-06	0.97490543
3.130731200135334e-09	4.8435177e-06	3.3294782e-07	0.9749054
3.1405059194651437e-09	-6.0312595e-06	-1.0371732e-06	0.9749054
3.1502805422480705e-09	4.9099326e-06	2.765446e-07	0.9749054
3.160054960368743e-09	-6.1295723e-06	-9.4022835e-07	0.9749054
3.169829315687843e-09	4.8627553e-06	1.7671846e-07	0.9749054
3.1808257754630168e-09	-5.9213053e-06	-1.092616e-06	0.9749054
3.1906002637125856e-09	4.679183e-06	2.8475188e-07	0.9749054
3.2003745501584402e-09	-6.064598e-06	-1.0520453e-06	0.9749055
3.2101493873183418e-09	4.753936e-06	1.6274862e-07	0.9749054
3.219923868797788e-09	-6.0726597e-06	-9.973301e-07	0.97490543
3.2309202278344675e-09	4.496702e-06	2.583838e-07	0.9749054
3.2406945337444585e-09	-5.850772e-06	-1.1479715e-06	0.97490543
3.2504690035898285e-09	4.679241e-06	1.8032733e-07	0.97490543
3.2602435991384118e-09	-5.9177546e-06	-1.0635704e-06	0.9749054
3.2700180624115933e-09	4.747664e-06	1.094304e-07	0.97490543
3.2797926083177398e-09	-5.8886653e-06	-9.5012365e-07	0.9749054
3.2907892274294834e-09	4.5330235e-06	2.6496127e-07	0.9749054
3.3005635926697532e-09	-5.7551515e-06	-1.0591466e-06	0.9749053
3.3103379000346437e-09	4.64145e-06	2.1327287e-07	0.9749054
3.32011271247832e-09	-5.8369624e-06	-9.587384e-07	0.9749053
3.3298872336401744e-09	4.6328933e-06	1.3876706e-07	0.9749054
3.3408835009986188e-09	-5.6031276e-06	-1.0772492e-06	0.9749054
3.3506579144748284e-09	4.4413173e-06	2.6472844e-07	0.97490543
3.3604326405470335e-09	-5.7594007e-06	-1.0164513e-06	0.97490543
3.370207326401173e-09	4.515183e-06	1.701992e-07	0.9749054
3.3799815177587644e-09	-5.7995203e-06	-9.51346e-07	0.9749054
3.3909779145635077e-09	4.2270985e-06	2.6496127e-07	0.97490543
3.4007524018071723e-09	-5.5899145e-06	-1.0941585e-06	0.9749054
3.4105265313198736e-09	4.3970504e-06	1.8446008e-07	0.97490543
3.420301089949685e-09	-5.6819117e-06	-1.0267831e-06	0.97490543
3.4300757554050046e-09	4.468806e-06	1.0270742e-07	0.9749055
3.439850303301346e-09	-5.670896e-06	-9.385403e-07	0.9749054
3.4508461320668678e-09	4.2481843e-06	2.3050234e-07	0.97490543
3.4606206531076077e-09	-5.5141863e-06	-1.0547228e-06	0.9749054
3.470395065601744e-09	4.377929e-06	1.7299317e-07	0.97490543
